trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
329,False,"{'a': 0.01, 'e': 0.037253849396215816}",20,10,17.742139122326563,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.01, 'e': 0.03688316740124}",20,14,8.253923190289203,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.01, 'e': 0.03651617375374041}",25,17,15.882004680683572,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.01, 'e': 0.03615283175404641}",20,8,21.158143247083864,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.01, 'e': 0.035793105067655304}",20,16,6.199967770947659,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.01, 'e': 0.03543695772159865}",25,12,18.654536622701794,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.01, 'e': 0.03508435410084503}",30,22,15.620821447639738,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.01, 'e': 0.03473525894473857}",20,9,12.919998078808286,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.01, 'e': 0.034389637343472716}",25,11,13.14733201435097,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
338,False,"{'a': 0.01, 'e': 0.03404745473459935}",35,18,30.933252259481087,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.01, 'e': 0.0337086768995724}",20,0,28.45778079658895,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
340,False,"{'a': 0.01, 'e': 0.03337326996032609}",20,4,20.33499154284051,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.01, 'e': 0.03304120037588694}",20,0,21.50484884458104,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
342,False,"{'a': 0.01, 'e': 0.03271243493901982}",25,3,-0.1400321212268738,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
343,False,"{'a': 0.01, 'e': 0.03238694077290704}",20,10,17.298176194176317,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.01, 'e': 0.032064685327860776}",30,16,26.290697960935578,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.01, 'e': 0.031745636378067946}",25,15,17.198245859870976,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.01, 'e': 0.03142976201836772}",20,12,14.458503377886707,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.01, 'e': 0.031117030661060866}",25,12,-18.636121870639546,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
348,False,"{'a': 0.01, 'e': 0.030807411032751083}",25,0,26.55173854009724,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
349,False,"{'a': 0.01, 'e': 0.030500872171217486}",20,3,-8.539602934733644,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
350,False,"{'a': 0.01, 'e': 0.030197383422318508}",35,23,22.279954576366105,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.01, 'e': 0.029896914436926315}",20,12,13.666280967091959,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.01, 'e': 0.029599435167892006}",25,11,-55.82498129589067,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
353,False,"{'a': 0.01, 'e': 0.029304915867040753}",25,0,27.261120402571688,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
354,False,"{'a': 0.01, 'e': 0.02901332708219706}",20,13,13.652035486452622,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.01, 'e': 0.028724639654239426}",25,11,24.066267755626264,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.01, 'e': 0.02843882471418451}",20,10,18.49337052758037,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.01, 'e': 0.0281558536803001}",20,10,20.972975617225387,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.01, 'e': 0.027875698255247022}",20,16,7.871181660740323,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.01, 'e': 0.027598330423249294}",25,0,34.854450904428944,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
360,False,"{'a': 0.01, 'e': 0.027323722447292562}",20,3,29.960850465238828,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.01, 'e': 0.02705184686635042}",25,14,21.051765044631214,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.01, 'e': 0.02678267649263818}",20,7,22.32775583511738,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.01, 'e': 0.026516184408894188}",30,0,47.76622919857388,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
364,False,"{'a': 0.01, 'e': 0.026252343965687965}",20,16,10.465049041893181,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.01, 'e': 0.02599112877875535}",25,19,11.556594265229998,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'a': 0.01, 'e': 0.025732512726359947}",25,3,33.74299790262814,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.01, 'e': 0.025476469946681023}",25,16,17.023134249561682,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 0.01, 'e': 0.025222974835227216}",20,10,19.777507224799944,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.01, 'e': 0.02497200204227616}",20,8,22.584879395781396,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.01, 'e': 0.02472352647033939}",25,17,15.5434901042053,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.01, 'e': 0.024477523271652677}",25,0,33.7976566149907,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
372,False,"{'a': 0.01, 'e': 0.024233967845691116}",20,12,-9.668654495237726,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
373,False,"{'a': 0.01, 'e': 0.02399283583670918}",35,18,31.513818775687408,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.01, 'e': 0.023754103131305}",20,10,17.386793818337416,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.01, 'e': 0.023517745856009114}",25,20,11.581342345290093,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 0.01, 'e': 0.023283740374897003}",20,10,18.214361365287534,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.01, 'e': 0.023052063287225574}",20,0,30.682493374980965,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
378,False,"{'a': 0.01, 'e': 0.022822691425092974}",25,0,42.15014845925848,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
379,False,"{'a': 0.01, 'e': 0.022595601851121867}",20,12,12.531690997788104,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
380,False,"{'a': 0.01, 'e': 0.022370771856165594}",25,13,21.857547834959497,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.01, 'e': 0.02214817895703732}",30,19,16.410602216777654,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,False,"{'a': 0.01, 'e': 0.021927800894261613}",20,5,26.232296625798718,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.01, 'e': 0.021709615629848574}",20,8,22.431077246344017,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.01, 'e': 0.021493601345089926}",20,8,20.239034502303877,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.01, 'e': 0.021279736438377172}",25,10,30.284195336057742,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.01, 'e': 0.021067999523041437}",20,14,12.835857830993648,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.01, 'e': 0.020858369425214723}",20,0,29.000618172901362,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
388,False,"{'a': 0.01, 'e': 0.02065082518171257}",20,5,23.270465340341598,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.01, 'e': 0.02044534603793766}",25,14,20.194039211306496,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
390,False,"{'a': 0.01, 'e': 0.020241911445804395}",20,9,18.84834278043528,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.01, 'e': 0.020040501061684018}",30,15,28.44723462638827,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.01, 'e': 0.01984109474437029}",20,14,-0.552762762986643,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
393,False,"{'a': 0.01, 'e': 0.019643672553065296}",25,10,27.684201728394616,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.01, 'e': 0.019448214745385394}",25,3,29.055919438852523,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.01, 'e': 0.019254701775386924}",30,10,33.64226048515328,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.01, 'e': 0.01906311429161164}",25,9,26.39510050895026,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.01, 'e': 0.01887343313515149}",25,16,18.425413438980804,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.01, 'e': 0.018685639337732776}",35,18,32.27540518972497,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.01, 'e': 0.018499714119819245}",25,4,30.58846008032794,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.01, 'e': 0.018315638888734186}",20,9,19.921553853581234,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.01, 'e': 0.01813339523680108}",25,5,30.01557334578585,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.01, 'e': 0.017952964939502852}",20,14,10.128715473481096,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.01, 'e': 0.017774329953659445}",20,15,8.397605271090777,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.01, 'e': 0.017597472415623396}",25,7,29.951679806802435,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.01, 'e': 0.017422374639493518}",25,12,24.544670210057326,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.01, 'e': 0.017249019115346268}",30,13,30.09569626946416,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.01, 'e': 0.0170773885074848}",20,10,17.14340239756391,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.01, 'e': 0.016907465652705282}",20,10,17.065277147691404,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.01, 'e': 0.016739233558580636}",30,13,30.55722704715415,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.01, 'e': 0.016572675401761258}",35,15,37.99865683651049,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
